relative_path,file_hash,action,reason,duplicate_group,representative,representative_reason,bitrate,sample_rate,has_cover,metadata_status
0 - Top 50 Sertanejo/00 - ANA CASTELA   DONA DE MIM (OFICIAL.mp3,6b4bb30cd5b64a526dd2c5ed7a752df6fbf16ce59cde23623e8e14bb4650da96,IMPORT,preserved,,0 - Top 50 Sertanejo/00 - ANA CASTELA   DONA DE MIM (OFICIAL.mp3,"sem erro de leitura; metadata NEEDS_REVIEW; título MEDIUM; artista LOW; sem cover; bitrate 128 kbps; sample rate 32000 Hz; desempate final por relative_path",128000,32000,false,NEEDS_REVIEW
0 - Top 50 Sertanejo/00 - Gusttavo Lima   Canudinho Part Ana Castela   DVD Paraíso Particula[1].mp3,16bbd67933d80501b35e3a153b0ef03f3fb1aad7d1823146894db74e216f664c,IMPORT,preserved,,0 - Top 50 Sertanejo/00 - Gusttavo Lima   Canudinho Part Ana Castela   DVD Paraíso Particula[1].mp3,"sem erro de leitura; metadata NEEDS_REVIEW; título MEDIUM; artista LOW; sem cover; bitrate 128 kbps; sample rate 32000 Hz; desempate final por relative_path",128000,32000,false,NEEDS_REVIEW
0 - Top 50 Sertanejo/00 - GUSTTAVO LIMA - MORAR NESSE MOTEL (VÍDEO OFICIAL).MP3,8490ba3676bd1d94507cbf40b34f6fd29275114c5a29b95f8362676c1720c8c0,IMPORT,preserved,,0 - Top 50 Sertanejo/00 - GUSTTAVO LIMA - MORAR NESSE MOTEL (VÍDEO OFICIAL).MP3,"sem erro de leitura; metadata INFERRED; título HIGH; artista HIGH; sem cover; bitrate 128 kbps; sample rate 32000 Hz; desempate final por relative_path",128000,32000,false,INFERRED
"0 - Top 50 Sertanejo/00 - MOLETOM - Luan Pereira, Gustavo Mioto.mp3",c281d8602f99538c12ee893eec8723a99fd63b6435b81ef92843ad560d2691ac,IMPORT,preserved,,"0 - Top 50 Sertanejo/00 - MOLETOM - Luan Pereira, Gustavo Mioto.mp3","sem erro de leitura; metadata INFERRED; título HIGH; artista HIGH; sem cover; bitrate 320 kbps; sample rate 48000 Hz; desempate final por relative_path",320000,48000,false,INFERRED
0 - Top 50 Sertanejo/01 - Murilo Huff - Quem tá Pegando.mp3,9e39fbb92b56fb3308a8318948246c601ae5ce2ae38e475b432d2f9fb4b70d5c,IMPORT,preserved,,0 - Top 50 Sertanejo/01 - Murilo Huff - Quem tá Pegando.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/02 - Ana Castela   Solteiro Forçado (DVD Boiadeira Internacional.mp3,f139cc6734f122f84ad3781e429485200aec8ba887013f82495da717749688be,IMPORT,preserved,,0 - Top 50 Sertanejo/02 - Ana Castela   Solteiro Forçado (DVD Boiadeira Internacional.mp3,"sem erro de leitura; metadata NEEDS_REVIEW; título MEDIUM; artista LOW; sem cover; bitrate 128 kbps; sample rate 32000 Hz; desempate final por relative_path",128000,32000,false,NEEDS_REVIEW
0 - Top 50 Sertanejo/02 - Hugo & Guilherme - Mágica (Ao Vivo).mp3,40258ccad7849e3093519af3fe1e8c4134058aeaefd2a7794dd6291168585875,IMPORT,preserved,,0 - Top 50 Sertanejo/02 - Hugo & Guilherme - Mágica (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
"0 - Top 50 Sertanejo/02 - Manu, Simone Mendes - Daqui pra Sempre.mp3",15fc107fffe34893171880d922f584443f05af7d4bc688118a2e637577ca061a,IMPORT,preserved,,"0 - Top 50 Sertanejo/02 - Manu, Simone Mendes - Daqui pra Sempre.mp3","sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/03 - Guilherme & Benuto - Manda um Oi (Ao Vivo).mp3,8acef5d59c6ca636d9c1a2a5fdb7fa9777f9e26c6b7d3a5bbeb33f6847576eee,IMPORT,exact_duplicate_representative,1,0 - Top 50 Sertanejo/03 - Guilherme & Benuto - Manda um Oi (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/04 - Clayton & Romário - Namorando Ou Não (Ao Vivo).mp3,1f002f4b43eab8bc24b4c0fd4fedcddaa7fef8649a030d7fbb55ad0c4b3729ed,IMPORT,preserved,,0 - Top 50 Sertanejo/04 - Clayton & Romário - Namorando Ou Não (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/05 - Zé Neto & Cristiano - Pátio do Posto (Ao Vivo).mp3,a1a9c6a31cd98966611ec05b166db346e597343b7a73d5660bc9658c6e65bab3,IMPORT,preserved,,0 - Top 50 Sertanejo/05 - Zé Neto & Cristiano - Pátio do Posto (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/06 - Gusttavo Lima - Solteiro Frustrado (Ao Vivo).mp3,9463f62e77d9cc7853a59950405aa3f7cde444e4583291f5660986ada3e3a289,IMPORT,preserved,,0 - Top 50 Sertanejo/06 - Gusttavo Lima - Solteiro Frustrado (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/07 - Simone Mendes - Erro Gostoso (Ao Vivo).mp3,22da40c4ce8d51857bcd9def9e00fad6a94d09164dee0dc06e91bc3c5730a19f,IMPORT,preserved,,0 - Top 50 Sertanejo/07 - Simone Mendes - Erro Gostoso (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/08 - Israel & Rodolffo - Voltou Com Quem Não Voltava (Ao Vivo).mp3,e1303ae7478ea2d71458e5980531eb1b18d3e71e49e93ec01d505374534df3a3,IMPORT,preserved,,0 - Top 50 Sertanejo/08 - Israel & Rodolffo - Voltou Com Quem Não Voltava (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/09 - Henrique & Juliano - Abre A Mente (Ao Vivo Em Brasília).mp3,50d16ed6bacef60cf0e80195a90c936e4f95dd3c38eafea7fac716344de9a039,IMPORT,preserved,,0 - Top 50 Sertanejo/09 - Henrique & Juliano - Abre A Mente (Ao Vivo Em Brasília).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/10 - Matheus & Kauan - Pactos (Ao Vivo).mp3,a0a08de4dba89fa3fad5f91f1be649c7dc107565d6ccdf33aa7fc589d988e4f2,IMPORT,preserved,,0 - Top 50 Sertanejo/10 - Matheus & Kauan - Pactos (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/11 - AgroPlay - Nosso Quadro.mp3,67be73adfabcc1d74d8f9469490305874546150cb9b9ae9c7cf2599bbd2d409c,IMPORT,preserved,,0 - Top 50 Sertanejo/11 - AgroPlay - Nosso Quadro.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/12 - Marília Mendonça - Me Ame Mais.mp3,b569beb8a28d7f598cd9aa84265159fe531373e34a48b0589ae3542291bedf5e,IMPORT,preserved,,0 - Top 50 Sertanejo/12 - Marília Mendonça - Me Ame Mais.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/13 - Luan Santana - MEIO TERMO (Ao Vivo).mp3,6cbfeba041802ed0986aa377e37272aefbb18f692e01291494548c5e6514282b,SKIP_LIKELY,likely_duplicate,16,000 Top Sertanejo ⭐ Hits Sertanejos!/034 - Luan Santana - MEIO TERMO (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/14 - Fred & Fabrício - Flor De Plástico (Ao Vivo).mp3,fa481d688689076a9bde6ac44d523e01c65ac48e99fd299bf08f641e0f719987,IMPORT,preserved,,0 - Top 50 Sertanejo/14 - Fred & Fabrício - Flor De Plástico (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/15 - Bruno & Marrone - Por Te Amar Demais (Ao Vivo).mp3,587fd5e4f104e33614127d7d59e9f5690c3a7934e5efed233f1b0929840f03d7,IMPORT,preserved,,0 - Top 50 Sertanejo/15 - Bruno & Marrone - Por Te Amar Demais (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/16 - Fiduma & Jeca - Chapéu Preto (Ao Vivo).mp3,3c012ab499a0f000ff9b9132beff13e021569724aca2a59b32c07d343afdd5e9,IMPORT,preserved,,0 - Top 50 Sertanejo/16 - Fiduma & Jeca - Chapéu Preto (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/17 - Lauana Prado - Desandei (Ao Vivo).mp3,8f2d7bd55b0f1c179fa57fbfd472492aa3d0fa5bce8351c68b1b10bc236a7c02,IMPORT,preserved,,0 - Top 50 Sertanejo/17 - Lauana Prado - Desandei (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/18 - Diego & Victor Hugo - Bestasexual (Ao Vivo).mp3,cca2901f25eaaaa7ca11eb279f719d1e0fc7fb23d73780a902861a586c1fd3da,IMPORT,preserved,,0 - Top 50 Sertanejo/18 - Diego & Victor Hugo - Bestasexual (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/19 - Fernando & Sorocaba - Cancelado.mp3,e465d3d3eca2b8f55b4244aa612b5260ca84eca37a8ddc3a68df3962db319c4e,IMPORT,preserved,,0 - Top 50 Sertanejo/19 - Fernando & Sorocaba - Cancelado.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/20 - Lucas Lucco - Superar Não É Comigo (Ao Vivo).mp3,6fd2ac5111550b70b477dd5c8e483f4146d64f7cdd79d1102c74ba9f1bd02346,IMPORT,preserved,,0 - Top 50 Sertanejo/20 - Lucas Lucco - Superar Não É Comigo (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/21 - Hugo & Vitor - Problemão (Ao Vivo).mp3,6068dc15d86ed8b2abdad45251f3fdc19c216ed2ffd216043c64bb66fc024f97,IMPORT,preserved,,0 - Top 50 Sertanejo/21 - Hugo & Vitor - Problemão (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/22 - Gustavo Mioto - Fim Do Mundo (Ao Vivo).mp3,35d4d1fb6e885292dda1374d8b41ea9158717b65d48eb0f5faccfe4d2998b3a0,IMPORT,preserved,,0 - Top 50 Sertanejo/22 - Gustavo Mioto - Fim Do Mundo (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/23 - Naiara Azevedo - Covardias Digitais (Ao Vivo).mp3,717dabdcd0274e0e509b05663b7a69cce206009c673176a6d14d8051bf5c41f7,IMPORT,preserved,,0 - Top 50 Sertanejo/23 - Naiara Azevedo - Covardias Digitais (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/24 - Bruno & Denner - Cavalo de Pau.mp3,76641671b3ce0e95c2a91eef4e8170f36ae214d7ec42a274b5bd29f7de445bf1,IMPORT,preserved,,0 - Top 50 Sertanejo/24 - Bruno & Denner - Cavalo de Pau.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/25 - Ícaro e Gilmar - A Viola e Eu (Ao Vivo) (Ao Vivo).mp3,e4f7c17907487ce30b5891294870ebd88e4791fdaeec8b5ed4159346b7c22e38,IMPORT,preserved,,0 - Top 50 Sertanejo/25 - Ícaro e Gilmar - A Viola e Eu (Ao Vivo) (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/26 - Léo & Raphael - Moça Do Cabelão Preto (Ao Vivo) (Ao Vivo).mp3,2386937e9798cd49fc9ec51cda52c87a29e434a8b2276648fb4587673bf0049b,IMPORT,preserved,,0 - Top 50 Sertanejo/26 - Léo & Raphael - Moça Do Cabelão Preto (Ao Vivo) (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/27 - Maiara & Maraisa - Felizes para Sempre (Ao Vivo).mp3,a6378dcd4c3eda0d3ebd649b8bd07d4d5ef946bad416c31b5f4e2319b275112c,IMPORT,preserved,,0 - Top 50 Sertanejo/27 - Maiara & Maraisa - Felizes para Sempre (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/28 - Jorge & Mateus - 5 Regras (Ao Vivo).mp3,65da1274c8c07e8b9ad8fb4e385acc9dcadef6e637ab6fecd350f5675b612883,IMPORT,preserved,,0 - Top 50 Sertanejo/28 - Jorge & Mateus - 5 Regras (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/29 - Chitãozinho & Xororó - Sinônimos.mp3,a686348ad803cb8c19779cbd3263ad731c39de9e326d504131af990601f0670e,IMPORT,preserved,,0 - Top 50 Sertanejo/29 - Chitãozinho & Xororó - Sinônimos.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/30 - Yasmin Santos - Apenas um Sorriso (Ao Vivo).mp3,0a8e5948cffbd796bf37720e6c8cc41ff4b272335e5bf582dfededdb39ee9137,IMPORT,preserved,,0 - Top 50 Sertanejo/30 - Yasmin Santos - Apenas um Sorriso (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/31 - Mariana & Mateus - Nunca Será (Ao Vivo).mp3,73d88c44a4b333866dfea1f489c649ee358f344fb9830ae5836e152a19417e66,IMPORT,preserved,,0 - Top 50 Sertanejo/31 - Mariana & Mateus - Nunca Será (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/32 - US Agroboy - Eu Minto (Ao Vivo).mp3,abcfb26d290fe1c542af294bbb2a56c517cdbb4fb88469ba82e98ceb0e3ca16c,IMPORT,preserved,,0 - Top 50 Sertanejo/32 - US Agroboy - Eu Minto (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/33 - Felipe Araújo - Despedida De Sofrimento (Ao Vivo).mp3,93d98c40f4f2004fdc4e6b8b4a3ae956386cb2e5e2d038aeef808ea5c8bbb92e,IMPORT,preserved,,0 - Top 50 Sertanejo/33 - Felipe Araújo - Despedida De Sofrimento (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/34 - Felipe e Rodrigo - Média Boa (Ao Vivo).mp3,7e3bc3ba107f98443c274ca92318ac8b63f9413d85224c8a9deecce16d063bc6,IMPORT,preserved,,0 - Top 50 Sertanejo/34 - Felipe e Rodrigo - Média Boa (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/35 - João Bosco e Gabriel - Se Não Entendeu (Ao Vivo).mp3,575211ddd3f994c00f9e2c2957923a59256964d0e76ad677cc10e72cf1687be0,IMPORT,preserved,,0 - Top 50 Sertanejo/35 - João Bosco e Gabriel - Se Não Entendeu (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/36 - Guilherme e Santiago - Se Ele Soubesse (Ao Vivo Em Goiânia _ 2022).mp3,3fa2c15fca419b274456772283782c60d2f8e49739575825904331dfd523801c,IMPORT,preserved,,0 - Top 50 Sertanejo/36 - Guilherme e Santiago - Se Ele Soubesse (Ao Vivo Em Goiânia _ 2022).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/37 - Luiza Martins - Desconhecido (Ao Vivo).mp3,b12dd3a5f82db4c51774c037dfdeaec552c99bd08997553a70747e7336dc7b00,IMPORT,preserved,,0 - Top 50 Sertanejo/37 - Luiza Martins - Desconhecido (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/38 - Augusto e Rafael - Dona Chica (Ao Vivo).mp3,3e3df7ec309ed138feace3d2f514e65d19a0d7e7291b3fc6569a60b12d76af7a,IMPORT,preserved,,0 - Top 50 Sertanejo/38 - Augusto e Rafael - Dona Chica (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/39 - Day e Lara - Problemão (Ao Vivo).mp3,22c22529b2e3489b32244f93f4addba3175f423ca6c180803757cb5e80f1ff31,IMPORT,preserved,,0 - Top 50 Sertanejo/39 - Day e Lara - Problemão (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/40 - Cristiano Araújo - Tempo Ao Tempo.mp3,d153b4622e39280b76da116c3ca8d40afa0abbc17239952b062f27a10888fecd,SKIP_LIKELY,likely_duplicate,17,Top 50 Sertanejo 2024/47 - Cristiano Araújo - Tempo Ao Tempo.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/41 - Daniel - Estou Apaixonado (Ao Vivo).mp3,95c9c57e5929988d8b43f4b83efaa868010540ff4095c69eb8cc572aa867ec81,SKIP_LIKELY,likely_duplicate,18,Sertanejao/Daniel 40 anos Canta João Paulo e Daniel/01 - Daniel - Estou Apaixonado (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/42 - Humberto & Ronaldo - A Uma Ex Atrás (Ao Vivo).mp3,046298ebba0ba58594e0074827fd4ed5eab4abae159bedfa4d2db36546e0df71,IMPORT,preserved,,0 - Top 50 Sertanejo/42 - Humberto & Ronaldo - A Uma Ex Atrás (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/43 - César Menotti & Fabiano - Eu Sem Você Não Dá.mp3,cacdbfd5827b64071ee40c9874a13b1f55a7870a3055a8518a16acf183478df2,IMPORT,preserved,,0 - Top 50 Sertanejo/43 - César Menotti & Fabiano - Eu Sem Você Não Dá.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/44 - Tayrone - Arrochadinha (Ao Vivo).mp3,23e5e7991a99944e1ef080c8547ca9835f5a8cae3f6b82b0adbd14766bf29637,IMPORT,preserved,,0 - Top 50 Sertanejo/44 - Tayrone - Arrochadinha (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/45 - Netto & Henrique - Cheiro De Problema (Ao Vivo).mp3,0199e5a1bfc14b636d800b2d383af830178c64bbe4d7caa7bff2169e61006a0b,IMPORT,preserved,,0 - Top 50 Sertanejo/45 - Netto & Henrique - Cheiro De Problema (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/46 - Jefferson Moraes - Coração Que Manda (Ao Vivo).mp3,5b8ea8dbcbaee8869718a8ec6662c29d215f8f3a58ca96306ec06c2f3b4a7fdb,IMPORT,preserved,,0 - Top 50 Sertanejo/46 - Jefferson Moraes - Coração Que Manda (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/47 - Cleber & Cauan - Boca Ocupada.mp3,669e59138ae52f7d6b8e1eee425ace587618e3054eb4d0ab95f83db7b746546b,IMPORT,preserved,,0 - Top 50 Sertanejo/47 - Cleber & Cauan - Boca Ocupada.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/48 - João Bosco & Vinícius - Sem Esse Coração (Ao Vivo).mp3,be2aa0527032a47b3e4cc7e3e96281f43a1a72300a31f9d31fd74befef463a69,IMPORT,preserved,,0 - Top 50 Sertanejo/48 - João Bosco & Vinícius - Sem Esse Coração (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/49 - Emerson e Jean - Saudade Não Beija (Ao Vivo).mp3,8a32a7177cb67bb0887ce005a9bbba7974397674d069cc9a630a7b1566593b23,IMPORT,preserved,,0 - Top 50 Sertanejo/49 - Emerson e Jean - Saudade Não Beija (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/50 - Luíza & Maurílio - Para Em Mim de Novo.mp3,fb8b05aa784549514b1ef23ff7ea4c77e12aee14ead8f95be223c450c245485b,IMPORT,preserved,,0 - Top 50 Sertanejo/50 - Luíza & Maurílio - Para Em Mim de Novo.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
00 - Modão de Buteco/01 a 20/00 - Capa de revista.mp3,c1497d10e27fb6a8f1e5df79f8a05778433d2b958788371bb12cd94fc02418b0,IMPORT,preserved,,00 - Modão de Buteco/01 a 20/00 - Capa de revista.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; sem cover; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,false,GOOD
00 - Modão de Buteco/01 a 20/01 - Amor Distante.mp3,8ce6373c71396130156dddf4e381b218f407371c0bf8c0f39377199d15894a25,IMPORT,preserved,,00 - Modão de Buteco/01 a 20/01 - Amor Distante.mp3,"sem erro de leitura; metadata INFERRED; título MEDIUM; artista MEDIUM; sem cover; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,false,INFERRED
00 - Modão de Buteco/01 a 20/02 - Milionário & José Rico - A Carta.mp3,cac930d0667be82a273ab945cd2c2a7a29714a7c0244eee9c5d9a3623877b7bb,IMPORT,likely_duplicate_representative,19,00 - Modão de Buteco/01 a 20/02 - Milionário & José Rico - A Carta.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; sem cover; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,false,GOOD
